,app_number,patent_number,blocked_app
0,"09/847,143",7046910,10578151
1,"09/847,143",7046910,10578151
2,"09/855,385",7190956,12866025
3,"09/855,385",7190956,12866025
4,"08/665,178",5794185,13008925
5,"08/665,178",5794185,12035715
6,"12/534,213",8229428,13547133
7,"11/286,497",7555696,11621919
8,"10/692,622",7373181,12336526
9,"10/692,622",7373181,13647868
10,"10/952,362",7414990,11955055
11,"08/589,842",5862451,12470623
12,"08/589,842",5862451,12470623
13,"08/589,842",5862451,12470623
14,"08/589,842",5862451,12470623
15,"08/625,116",5812527,12436517
16,"10/413,060",7263365,11842543
17,"09/648,955",6466804,13252096
18,"09/648,955",6466804,10476522
19,"09/648,955",6466804,12933760
20,"09/648,955",6466804,12990205
21,"11/558,243",7729357,11786969
22,"10/261,260",7876837,12356184
23,"10/261,260",7876837,12356184
24,"10/261,260",7876837,12356184
25,"10/261,260",7876837,12356184
26,"10/261,260",7876837,12356184
27,"10/261,260",7876837,12356184
28,"10/261,260",7876837,12027794
29,"08/720,984",5910951,11147396
30,"08/720,984",5910951,11147396
31,"08/720,984",5910951,11147396
32,"08/720,984",5910951,11147396
33,"08/720,984",5910951,11147396
34,"08/720,984",5910951,11147396
35,"08/720,984",5910951,11147396
36,"08/720,984",5910951,11147396
37,"08/720,984",5910951,11147396
38,"08/720,984",5910951,11147396
39,"08/720,984",5910951,11147396
40,"08/720,984",5910951,11147396
41,"08/720,984",5910951,11147396
42,"08/720,984",5910951,11147396
43,"08/720,984",5910951,11147396
44,"08/720,984",5910951,11945840
45,"08/720,984",5910951,11945840
46,"08/720,984",5910951,11945840
47,"08/720,984",5910951,11945840
48,"08/946,210",5946346,12475966
49,"09/678,056",6970926,11696428
50,"09/678,056",6970926,11696428
51,"09/678,056",6970926,11696428
52,"10/003,153",6836676,13523413
53,"08/554,990",5781226,11400371
54,"08/554,990",5781226,12711092
55,"08/736,383",5886736,12311929
56,"08/736,383",5886736,12759554
57,"08/736,383",5886736,12759554
58,"08/736,383",5886736,12759554
59,"08/736,383",5886736,12759554
60,"08/736,383",5886736,12759554
61,"08/736,383",5886736,12759554
62,"08/736,383",5886736,12747442
63,"08/736,383",5886736,12747442
64,"08/736,383",5886736,12747442
65,"08/736,383",5886736,12747442
66,"08/736,383",5886736,12747442
67,"08/736,383",5886736,12759554
68,"08/736,383",5886736,12759554
69,"08/736,383",5886736,12759554
70,"08/736,383",5886736,12759554
71,"08/736,383",5886736,12759554
72,"08/736,383",5886736,12759554
73,"09/967,239",6563427,11331338
74,"09/967,239",6563427,11331338
75,"11/838,517",8140102,12338573
76,"10/284,927",6925128,12905809
77,"10/284,927",6925128,12905809
78,"10/284,927",6925128,13351738
79,"10/284,927",6925128,13351738
